id,time,aqi,areatype,hours,price
1,morning,300,red,100,500
2,morning,250,yellow,200,400
3,morning,100,green,80,100
4,morning,200,yellow,100,250
5,morning,150,green,100,130
6,afternoon,340,red,100,400
7,afternoon,250,yellow,150,310
8,afternoon,100,green,100,120
9,afternoon,370,red,150,400
10,afternoon,200,yellow,150,250
11,evening,350,red,150,390
12,evening,400,red,150,450
13,evening,230,yellow,130,250
14,evening,260,yellow,130,270
15,evening,180,green,100,150
16,night,290,red,150,300
17,night,300,red,145,300
18,night,350,red,150,350
19,night,250,yellow,180,250
20,night,100,green,90,100
